id,name,team,position,overall,pace,shooting,passing,dribbling,defending,physical,nation,league,age,weak_foot,skill_moves,image_url
207865,Marquinhos,Paris SG,CB,87,78,56,75,74,89,80,Brazil,Ligue 1 McDonald's,31,3,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/207865_en.webp
177683,Yann Sommer,Lombardia FC,GK,87,83,82,85,89,50,87,Switzerland,Serie A Enilive,37,4,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/177683_en.webp
241486,Jules Koundé,FC Barcelona,RB,87,84,47,74,79,86,84,France,LALIGA EA SPORTS,27,3,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/241486_en.webp
212198,Bruno Fernandes,Man Utd,CAM,87,67,83,89,83,65,75,Portugal,Premier League,31,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/212198_en.webp
243715,William Saliba,Arsenal,CB,87,77,39,68,72,87,83,France,Premier League,25,3,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/243715_en.webp
246191,Julián Alvarez,Atlético de Madrid,ST,87,85,87,81,87,57,79,Argentina,LALIGA EA SPORTS,26,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/246191_en.webp
213331,Jonathan Tah,FC Bayern München,CB,87,63,38,60,63,87,86,Germany,Bundesliga,30,3,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/213331_en.webp
239837,Alexis Mac Allister,Liverpool,CM,87,66,82,85,85,78,76,Argentina,Premier League,27,3,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/239837_en.webp
215698,Mike Maignan,Milano FC,GK,87,84,83,85,88,64,84,France,Serie A Enilive,30,4,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/215698_en.webp
222665,Martin Ødegaard,Arsenal,CM,87,68,79,88,87,67,65,Norway,Premier League,27,2,5,https://ratings-images-prod.pulse.ea.com/FC26/components/items/222665_en.webp
220901,David Raya,Arsenal,GK,87,86,84,87,87,62,85,Spain,Premier League,30,3,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/220901_en.webp
241651,Viktor Gyökeres,Arsenal,ST,87,90,86,73,81,36,91,Sweden,Premier League,27,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/241651_en.webp
224232,Nicolò Barella,Lombardia FC,CM,87,80,78,84,86,81,76,Italy,Serie A Enilive,29,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/224232_en.webp
232293,Victor Osimhen,Galatasaray,ST,87,92,84,65,81,42,84,Nigeria,Trendyol Süper Lig,27,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/232293_en.webp
252145,Nuno Mendes,Paris SG,LB,86,95,65,76,82,80,77,Portugal,Ligue 1 McDonald's,23,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/252145_en.webp
205452,Antonio Rüdiger,Real Madrid,CB,86,79,55,72,70,84,86,Germany,LALIGA EA SPORTS,33,3,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/205452_en.webp
247827,Michael Olise,FC Bayern München,RM,86,78,80,84,87,50,66,France,Bundesliga,24,2,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/247827_en.webp
231281,Trent Alexander-Arnold,Real Madrid,RB,86,76,72,89,80,80,74,England,LALIGA EA SPORTS,27,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/231281_en.webp
239818,Rúben Dias,Manchester City,CB,86,59,39,69,69,86,84,Portugal,Premier League,28,4,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/239818_en.webp
211110,Paulo Dybala,AS Roma,CAM,86,80,85,84,87,41,64,Argentina,Serie A Enilive,32,3,5,https://ratings-images-prod.pulse.ea.com/FC26/components/items/211110_en.webp
247851,Bruno Guimarães,Newcastle Utd,CM,86,66,75,84,84,79,81,Brazil,Premier League,28,2,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/247851_en.webp
256196,Willian Pacho,Paris SG,CB,86,80,34,62,62,86,86,Ecuador,Ligue 1 McDonald's,24,3,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/256196_en.webp
237678,Ibrahima Konaté,Liverpool,CB,86,77,34,63,69,86,85,France,Premier League,26,3,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/237678_en.webp
208128,Hakan Çalhanoğlu,Lombardia FC,CDM,86,71,81,87,82,81,73,Turkey,Serie A Enilive,32,5,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/208128_en.webp
158023,Lionel Messi,Inter Miami CF,RW,86,78,85,85,90,33,64,Argentina,MLS,38,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/158023_en.webp
241096,Sandro Tonali,Newcastle Utd,CDM,86,79,74,82,80,81,83,Italy,Premier League,25,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/241096_en.webp
256516,Nico Williams,Athletic Club,LM,86,93,76,80,87,36,66,Spain,LALIGA EA SPORTS,23,5,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/256516_en.webp
240638,Tijjani Reijnders,Manchester City,CM,86,79,79,82,85,77,77,Holland,Premier League,27,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/240638_en.webp
192448,Marc-André ter Stegen,FC Barcelona,GK,86,84,84,89,85,47,84,Germany,LALIGA EA SPORTS,33,4,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/192448_en.webp
235073,Gregor Kobel,Borussia Dortmund,GK,86,87,83,64,87,44,86,Switzerland,Bundesliga,28,3,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/235073_en.webp
210257,Ederson,Fenerbahçe,GK,85,83,82,91,83,64,83,Brazil,Trendyol Süper Lig,32,3,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/210257_en.webp
226268,Federico Dimarco,Lombardia FC,LB,85,80,78,84,82,79,77,Italy,Serie A Enilive,28,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/226268_en.webp
237238,Scott McTominay,SSC Napoli,CM,85,76,82,77,80,80,85,Scotland,Serie A Enilive,29,3,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/237238_en.webp
246104,Ryan Gravenberch,Liverpool,CDM,85,76,76,81,85,81,81,Holland,Premier League,23,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/246104_en.webp
202811,Emiliano Martínez,Aston Villa,GK,85,83,82,82,85,56,85,Argentina,Premier League,33,4,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/202811_en.webp
272834,João Neves,Paris SG,CM,85,74,69,80,84,82,83,Portugal,Ligue 1 McDonald's,21,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/272834_en.webp
194765,Antoine Griezmann,Atlético de Madrid,ST,85,77,86,85,88,59,73,France,LALIGA EA SPORTS,35,3,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/194765_en.webp
243014,Bryan Mbeumo,Man Utd,RW,85,88,84,79,84,49,76,Cameroon,Premier League,26,2,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/243014_en.webp
215914,N'Golo Kanté,Al Ittihad,CDM,85,77,65,73,80,85,79,France,ROSHN Saudi League,35,3,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/215914_en.webp
271421,Désiré Doué,Paris SG,RW,85,83,80,77,90,55,74,France,Ligue 1 McDonald's,20,4,5,https://ratings-images-prod.pulse.ea.com/FC26/components/items/271421_en.webp
204963,Carvajal,Real Madrid,RB,85,80,58,79,81,81,79,Spain,LALIGA EA SPORTS,34,3,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/204963_en.webp
230869,Unai Simón,Athletic Club,GK,85,84,80,76,85,49,84,Spain,LALIGA EA SPORTS,28,3,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/230869_en.webp
228093,Marcus Thuram,Lombardia FC,ST,85,86,83,76,82,50,80,France,Serie A Enilive,28,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/228093_en.webp
185122,Péter Gulácsi,RB Leipzig,GK,85,83,83,74,84,43,87,Hungary,Bundesliga,35,2,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/185122_en.webp
241084,Luis Díaz,FC Bayern München,LM,85,88,81,76,87,45,75,Colombia,Bundesliga,29,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/241084_en.webp
193080,De Gea,Fiorentina,GK,85,85,78,71,87,46,84,Spain,Serie A Enilive,35,2,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/193080_en.webp
247819,Nico Schlotterbeck,Borussia Dortmund,CB,85,74,60,75,73,85,82,Germany,Bundesliga,26,2,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/247819_en.webp
200104,Heung Min Son,LAFC,LW,85,84,84,81,83,42,73,Korea Republic,MLS,33,5,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/200104_en.webp
237692,Phil Foden,Manchester City,RW,85,81,81,82,89,57,57,England,Premier League,25,3,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/237692_en.webp
226271,Fabián Ruiz,Paris SG,CM,85,61,77,80,81,75,72,Spain,Ligue 1 McDonald's,29,3,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/226271_en.webp
216393,Youri Tielemans,Aston Villa,CM,85,54,79,85,80,75,72,Belgium,Premier League,28,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/216393_en.webp
199503,Granit Xhaka,Sunderland,CDM,85,47,75,85,74,78,82,Switzerland,Premier League,33,3,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/199503_en.webp
165153,Karim Benzema,Al Ittihad,ST,85,75,84,81,83,38,77,France,ROSHN Saudi League,38,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/165153_en.webp
204525,Iñigo Martínez,Al Nassr,CB,85,71,57,72,68,85,80,Spain,ROSHN Saudi League,34,3,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/204525_en.webp
20801,Cristiano Ronaldo,Al Nassr,ST,85,76,88,76,80,34,76,Portugal,ROSHN Saudi League,41,4,5,https://ratings-images-prod.pulse.ea.com/FC26/components/items/20801_en.webp
243812,Rodrygo,Real Madrid,RW,85,88,80,79,87,31,64,Brazil,LALIGA EA SPORTS,25,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/243812_en.webp
244260,Dani Olmo,FC Barcelona,CAM,85,73,79,83,87,50,56,Spain,LALIGA EA SPORTS,27,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/244260_en.webp
229558,Dayot Upamecano,FC Bayern München,CB,85,77,45,64,73,84,84,France,Bundesliga,27,3,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/229558_en.webp
234236,Patrik Schick,Leverkusen,ST,85,72,83,71,81,38,77,Czech Republic,Bundesliga,30,3,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/234236_en.webp
239580,Bremer,Juventus,CB,85,82,50,58,66,86,80,Brazil,Serie A Enilive,29,2,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/239580_en.webp
232656,Theo Hernández,Al Hilal,LB,84,90,76,78,83,79,83,France,ROSHN Saudi League,28,3,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/232656_en.webp
226161,Marcos Llorente,Atlético de Madrid,RB,84,89,79,78,81,78,82,Spain,LALIGA EA SPORTS,31,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/226161_en.webp
212616,Rodrigo De Paul,Inter Miami CF,CM,84,75,78,83,83,76,83,Argentina,MLS,31,3,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/212616_en.webp
210514,João Cancelo,Al Hilal,RB,84,83,73,84,84,78,74,Portugal,ROSHN Saudi League,31,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/210514_en.webp
244675,Sancet,Athletic Club,CAM,84,76,83,80,85,70,82,Spain,LALIGA EA SPORTS,25,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/244675_en.webp
234396,Alphonso Davies,FC Bayern München,LB,84,94,66,78,85,74,76,Canada,Bundesliga,25,3,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/234396_en.webp
204935,Jordan Pickford,Everton,GK,84,84,78,88,87,53,81,England,Premier League,32,4,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/204935_en.webp
233096,Denzel Dumfries,Lombardia FC,RB,84,84,70,75,79,79,84,Holland,Serie A Enilive,29,3,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/233096_en.webp
223848,Sergej Milinković-Savić,Al Hilal,CM,84,62,80,81,81,78,88,Serbia,ROSHN Saudi League,31,5,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/223848_en.webp
251517,Joško Gvardiol,Manchester City,LB,84,78,71,75,78,84,82,Croatia,Premier League,24,5,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/251517_en.webp
241637,Aurélien Tchouaméni,Real Madrid,CDM,84,71,69,79,78,81,82,France,LALIGA EA SPORTS,26,3,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/241637_en.webp
239231,Marc Cucurella,Chelsea,LB,84,75,64,79,80,82,79,Spain,Premier League,27,3,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/239231_en.webp
210035,Grimaldo,Leverkusen,LM,84,72,73,87,85,74,67,Spain,Bundesliga,30,2,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/210035_en.webp
226851,Benjamin Pavard,OM,CB,84,75,67,76,75,86,79,France,Ligue 1 McDonald's,30,3,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/226851_en.webp
247090,Enzo Fernández,Chelsea,CM,84,68,75,85,81,73,75,Argentina,Premier League,25,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/247090_en.webp
186153,Wojciech Szczęsny,FC Barcelona,GK,84,82,83,75,84,48,84,Poland,LALIGA EA SPORTS,35,3,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/186153_en.webp
257279,Álex Baena,Atlético de Madrid,LM,84,79,76,84,82,65,68,Spain,LALIGA EA SPORTS,24,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/257279_en.webp
220502,Mattia Zaccagni,Latium,LM,84,88,78,77,87,57,66,Italy,Serie A Enilive,30,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/220502_en.webp
262621,Giorgi Mamardashvili,Liverpool,GK,84,84,81,72,84,48,84,Georgia,Premier League,25,3,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/262621_en.webp
231521,Exequiel Palacios,Leverkusen,CM,84,62,76,80,82,81,71,Argentina,Bundesliga,27,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/231521_en.webp
245367,Xavi Simons,Spurs,CAM,84,77,77,80,87,61,70,Holland,Premier League,22,3,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/245367_en.webp
167495,Manuel Neuer,FC Bayern München,GK,84,81,81,90,81,31,86,Germany,Bundesliga,40,4,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/167495_en.webp
224293,Rúben Neves,Al Hilal,CDM,84,57,75,87,77,77,76,Portugal,ROSHN Saudi League,29,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/224293_en.webp
242516,Cody Gakpo,Liverpool,LM,84,83,82,80,83,47,74,Holland,Premier League,26,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/242516_en.webp
218667,Bernardo Silva,Manchester City,CM,84,61,78,83,89,71,65,Portugal,Premier League,31,3,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/218667_en.webp
222077,Manuel Locatelli,Juventus,CDM,84,63,69,80,76,81,78,Italy,Serie A Enilive,28,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/222077_en.webp
227796,Christian Pulisic,Milano FC,RW,84,88,82,80,86,46,65,United States,Serie A Enilive,27,5,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/227796_en.webp
234577,Diogo Costa,FC Porto,GK,84,83,78,82,86,35,83,Portugal,Liga Portugal,26,2,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/234577_en.webp
221697,Ollie Watkins,Aston Villa,ST,84,77,83,73,80,50,80,England,Premier League,30,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/221697_en.webp
220697,James Maddison,Spurs,CM,84,67,81,86,85,58,64,England,Premier League,29,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/220697_en.webp
252154,Marco Carnesecchi,Bergamo Calcio,GK,84,86,83,71,86,30,85,Italy,Serie A Enilive,25,3,1,https://ratings-images-prod.pulse.ea.com/FC26/components/items/252154_en.webp
256675,Omar Marmoush,Manchester City,ST,84,89,85,76,86,34,71,Egypt,Premier League,27,3,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/256675_en.webp
241721,Rafael Leão,Milano FC,LW,84,93,78,80,86,28,75,Portugal,Serie A Enilive,26,4,5,https://ratings-images-prod.pulse.ea.com/FC26/components/items/241721_en.webp
240130,Éder Militão,Real Madrid,CB,84,82,50,69,71,85,82,Brazil,LALIGA EA SPORTS,28,3,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/240130_en.webp
192505,Romelu Lukaku,SSC Napoli,ST,84,79,82,75,75,41,84,Belgium,Serie A Enilive,32,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/192505_en.webp
197781,Isco,Real Betis,CAM,84,66,79,85,85,59,60,Spain,LALIGA EA SPORTS,33,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/197781_en.webp
264652,Bradley Barcola,Paris SG,LW,84,90,77,78,84,39,66,France,Ligue 1 McDonald's,23,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/264652_en.webp
241852,Moussa Diaby,Al Ittihad,RM,84,95,75,77,87,44,54,France,ROSHN Saudi League,26,3,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/241852_en.webp
248550,Vivian,Athletic Club,CB,84,79,50,63,72,84,83,Spain,LALIGA EA SPORTS,26,2,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/248550_en.webp
230899,Ademola Lookman,Bergamo Calcio,ST,84,86,84,73,88,32,67,Nigeria,Serie A Enilive,28,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/230899_en.webp
204485,Riyad Mahrez,Al Ahli,RM,84,78,80,81,88,39,63,Algeria,ROSHN Saudi League,35,4,5,https://ratings-images-prod.pulse.ea.com/FC26/components/items/204485_en.webp
216549,Alexander Sørloth,Atlético de Madrid,ST,84,77,82,71,76,36,85,Norway,LALIGA EA SPORTS,30,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/216549_en.webp
199845,Francesco Acerbi,Lombardia FC,CB,84,57,50,65,65,87,81,Italy,Serie A Enilive,38,3,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/199845_en.webp
198176,Stefan de Vrij,Lombardia FC,CB,84,62,41,68,69,86,74,Holland,Serie A Enilive,34,3,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/198176_en.webp
204638,Willi Orban,RB Leipzig,CB,84,57,40,56,56,86,83,Hungary,Bundesliga,33,3,2,https://ratings-images-prod.pulse.ea.com/FC26/components/items/204638_en.webp
210008,Adrien Rabiot,Milano FC,CAM,83,81,79,81,80,77,84,France,Serie A Enilive,30,3,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/210008_en.webp
248243,Eduardo Camavinga,Real Madrid,CM,83,80,68,81,84,78,80,France,LALIGA EA SPORTS,23,3,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/248243_en.webp
236772,Dominik Szoboszlai,Liverpool,CAM,83,79,82,84,82,67,76,Hungary,Premier League,25,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/236772_en.webp
192883,Henrikh Mkhitaryan,Lombardia FC,CM,83,77,78,82,83,72,75,Armenia,Serie A Enilive,37,5,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/192883_en.webp
223959,Lucas Torreira,Galatasaray,CDM,83,76,72,78,81,81,79,Uruguay,Trendyol Süper Lig,30,3,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/223959_en.webp
217870,Giovanni Di Lorenzo,SSC Napoli,RB,83,84,72,73,77,79,80,Italy,Serie A Enilive,32,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/217870_en.webp
244669,Morten Hjulmand,Sporting CP,CDM,83,70,76,78,77,80,84,Denmark,Liga Portugal,26,4,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/244669_en.webp
247394,Dejan Kulusevski,Spurs,CM,83,74,79,84,85,62,81,Sweden,Premier League,25,3,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/247394_en.webp
225193,Mikel Merino,Arsenal,CM,83,63,79,80,80,81,80,Spain,Premier League,29,3,3,https://ratings-images-prod.pulse.ea.com/FC26/components/items/225193_en.webp
215590,Ayoze,Villarreal CF,ST,83,86,83,80,83,59,67,Spain,LALIGA EA SPORTS,32,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/215590_en.webp
216201,Iñaki Williams,Athletic Club,RM,83,94,81,74,80,45,84,Ghana,LALIGA EA SPORTS,31,3,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/216201_en.webp
240950,Pedro Gonçalves,Sporting CP,CAM,83,77,82,83,84,63,68,Portugal,Liga Portugal,27,4,4,https://ratings-images-prod.pulse.ea.com/FC26/components/items/240950_en.webp
